pertanyaan,jawaban,kategori,tags
Bagaimana cara mengajukan dispensasi kuliah?,"Mahasiswa mengajukan surat dispensasi ke dosen pengampu paling lambat H-1 sebelum kuliah yang akan ditinggalkan, dengan melampirkan bukti kegiatan resmi dari jurusan atau kampus. Dispensasi maksimal 3 kali dalam satu semester.",dispensasi,"dispensasi,izin,absen"
Apa yang terjadi jika IPK turun di bawah 2.00?,"Mahasiswa dengan IPK di bawah 2.00 selama 2 semester berturut-turut akan mendapat surat peringatan akademik (SP-1). Jika IPK masih di bawah 2.00 setelah SP-1, akan diberikan SP-2. Jika tidak ada perbaikan setelah SP-3, mahasiswa dapat dikenakan sanksi drop out (DO).",ipk,"ipk,sanksi,peringatan,do"
Berapa lama masa studi maksimal untuk D4?,"Masa studi maksimal untuk program D4 Manajemen Informatika adalah 10 semester (5 tahun). Mahasiswa yang melebihi batas ini harus mengajukan perpanjangan masa studi dengan persetujuan jurusan dan dikenakan biaya tambahan.",masa studi,"masa studi,lulus,semester,d4"
Bagaimana prosedur pengajuan beasiswa?,"Informasi beasiswa diumumkan melalui portal akademik dan papan pengumuman jurusan. Mahasiswa yang memenuhi syarat dapat mengajukan berkas (KTM, transkrip nilai, surat keterangan tidak mampu, proposal) ke bagian kemahasiswaan paling lambat 2 minggu setelah pengumuman.",beasiswa,"beasiswa,biaya,bantuan"
Apa itu KRS dan bagaimana cara mengisinya?,"KRS (Kartu Rencana Studi) adalah form pengambilan mata kuliah untuk satu semester. Diisi online di sipol.polsri.ac.id pada periode registrasi. Mahasiswa wajib konsultasi dengan dosen PA sebelum mengisi KRS. Maksimal SKS diatur berdasarkan IPK.",krs,"krs,registrasi,kuliah"
Bagaimana cara melihat jadwal kuliah?,"Jadwal kuliah dapat dilihat di portal akademik sipol.polsri.ac.id setelah login menggunakan NIM dan password. Jadwal per mata kuliah mencakup hari, jam, ruangan, dan nama dosen pengampu.",jadwal,"jadwal,kuliah,ruangan"
Apa sanksi jika tidak membayar UKT tepat waktu?,"Keterlambatan pembayaran UKT dikenakan denda Rp 200.000 per bulan. Jika belum membayar hingga akhir semester, mahasiswa tidak bisa mengisi KRS untuk semester berikutnya dan tidak bisa melihat nilai akhir.",ukt,"ukt,bayar,denda,sanksi"
Siapa dosen pembimbing akademik saya?,"Dosen Pembimbing Akademik (PA) ditentukan oleh jurusan setiap awal tahun akademik. Informasi dosen PA dapat dilihat di portal akademik pada menu 'Profil Mahasiswa' atau bertanya ke bagian administrasi jurusan.",pa,"pembimbing akademik,dosen pa"
Apakah bisa mengganti mata kuliah setelah KRS diisi?,"Perubahan KRS (penggantian mata kuliah) dapat dilakukan pada masa perbaikan di minggu pertama perkuliahan dengan mengisi form perubahan KRS dan disetujui dosen PA. Tidak ada biaya untuk perubahan KRS.",krs,"krs,ganti,perubahan"
Bagaimana prosedur mengajukan cuti akademik?,"Cuti diajukan dengan mengisi formulir cuti di bagian akademik, melampirkan KTM dan bukti pembayaran UKT. Cuti maksimal 2 semester berturut-turut. Selama cuti, status mahasiswa tetap aktif tapi tidak boleh mengikuti perkuliahan atau ujian.",cuti,"cuti,akademik,izin"
